sentiment,review_body,product_category
0,"I was initially drawn to the intricate floral design of the neutral motif. it looks huge and boxy  so i sized down to a 0- which ended up being too tight in the chest and arm holes (for reference  i'm 5'7""  130lbs  34a). i returned it for a size 2  which fit much better. in the end  i decided not to keep it because of the lack of shape  and it's a little unflattering for smaller busts. it does come with a matching cami and seems well-made  but it just wasn't for me.",Blouses
0,After seeing the picture online  i was coveting this top for a while and then retailer days happened! i immediately ordered it  but i'm still not sure if i'm going to keep it. i ordered a 2p (0p was sold out) and i was assuming it was going to be a little big  but i like flowy. the sleeves and chest are perfect but the top is cut so generously in the back (and it's a bit longer in the back as well) i feel like it looks like i'm wearing a wedding dress. i love it from the front. i'm going to try to,Blouses
0,This top was quite voluminous when i purchased it and i sized down to an xs  however after hand washing it once in cold water it has shrunk significantly. it still fits  but something to be aware of.,Blouses
0,The shirt is amazing in the photo..but when it arrived in the package to my house  it is sooooo dark that you can't see the patchwork. not happy. going to return it. it was a holiday gift.,Blouses
1,"I ordered this shirt in each color and different sizes: petite  regular  ""my"" size  a size up and one down!  verdict: i ended up in regular size  not petite because i felt the petite was jsut that short and i could feel te cold breeze in the store. i could have gone in the 00  0  and 2 #2 is my usual size#  but ended up in a 0 only because it was less wide on me. it is  hwoevcer a tiny bit tighter around the back if i cross my arms forward #really  i don't do that move on a daily basis#. colr: i",Blouses
1,The only negative thing i have to say is that the color in person is different than the picture- it is much more of a coral pink than a rosy pink  which is fine just a tad unexpected! i ordered a size 8 and it fits perfectly (32ddd chest). the laser cut outs in the yoke add a very nice feminine  unique touch to an otherwise basic top. i can't wait to wear it!,Blouses
1,I love this top and was so happy when it came out in black! i'm typically an 8 on top and sized up to a 10  and it still feels slightly small across the shoulders and arms. it also requires a under tank because it's very sheer  even with the lining. worth it though!,Blouses
1,I just received this in the mail and must say its one of my favorite purchases in a long time from retailer. the navy polka dot color combo is classic yet fun with the orange. looks great on its own as well as under a cardy. this will be in heavy rotation.,Blouses
1,I knew i needed to have this shirt as soon as i saw it and luckily for me  it was already on sale. i read the other reviews and ordered a s (usually order xs or s  but went with s for this one because i was worried about the fit of the bust). overall the shirt is huge on me. i considered returning for an xs but suspect that would also be too big and maybe too short. i decided i could get it tailored instead for the cost of exchange shipping. so i will be doing that. otherwise i love everything a,Blouses
1,I bought the silvery blue tunic. it is very light grey with a hint of blue. it is so shapely - coverage without being boxy or maternity-like. it covers your bum perfectly and looks great with a dark pair of skinny jeans. the color can really take you through autumn  winter and even spring depending on where you live. i love the sleeve length  too.,Blouses
1,"I really like this blouse. it's hard to find a short sleeved button down that the sleeves don't stick out and look weird. this one does not have this problem. it is a bit sheer  but i don't mind wearing a cami with it. it is flowy... but not boxy/baggie. has a very nice  flattering drape. i'm 5'3""  110lbs.  32c  petite frame. the 00 regular fits great. i'm often a petite (especially in pants and long sleeved tops)... but went with the regular size here bc i wanted the longer length.",Blouses
1,"1. i'm 5'5"" tall  145 lbs  and 38 (36d) -32-40  and a solid size 10. the size 10 fit me perfectly  but if it shrank it would be too tight across the bust. the size 12 also fit me well but was an inch looser all around. the darts on the 12 hit me in exactly the right place  so i decided to go with the 12  even though it looks a little big. it makes me look smaller.    2. the fabric is a soft ivory color  and the fabric is soft but thick. it's not see through at all.     3. the lace on the sides a",Blouses
1,A sales associate suggested this top and i'm glad she did. it's easy to miss at first!  -------------------  pros:  - beautiful detailing at the bottom that isn't as evident from pics here. it really sets the top apart.  - double-layered but breathable fabric means no see-through issues and can be worn in the hot summer months ahead.  - lace detailing at the top is nice and elegant.  - roomy without being too boxy. nice flow.  - great fabric. forgiving fit.  - can be dressed up or down.  - lengt,Blouses
-1,"Dress is nice but can't be worn without tights or you are at a risk of indecently exposing yourself. it is around 30"" in length so is more of a tunic than a dress. i'm only 5'1 and it was too short . can't imagine anyone taller even trying to wear this !",Dresses
-1,This dress didn't work for me at all. i'm 6ft tall  160lb  i usually wear size l 8/10  but based on the reviews i ordered an m. the material of this dress is very soft and fuzzy  color is about the same as pictured  also length is appropriate. dress is very thick and warm  the fabric however has no stretch at all  dress is very specious and shapeless. there is allot of room everywhere except shoulders & sleeves  i thought that area was tight & snug which is strange because it runs large everywhe,Dresses
-1,I bought this online so didn't realize that the fabric at the bottom is very  very stiff. i was expecting something silky  or at least on the softer and more moveable side. the best description i can think of is an overly starched mens dress shirt. that being the case  it kind of juts out in weird places. the sweater part is very nice  but it is somewhat closer fitting than what it seems in the picture. the fabric bottom is too ample for the slimmer design of the sweater which just adds to the o,Dresses
-1,I'm 5 feet 120 and hourglass figure. i literally burst out laughing when i opened the package. i ordered my usual small petite. the dress is so short and small you would have to be 4 feet 90 pounds. returning.,Dresses
-1,"It's a fine dress  but it definitely runs small  and it's actually a lot shorter than i was expecting  especially since i'm only 5' 3""",Dresses
-1,I was attracted to the feminine design of the dress  the silhouette  the flouncy skirt; however  i ordered the red motif pattern and hated the splotchy  dark colors.,Dresses
-1,"First problem-i would not have ordered this at all had the description been correct. the fabric description is cotton which the dress is most certainly not. secondly  it has a really funky  cheap  unfinished  raw-hemmed slip which is simply not fitting for the dress. the keyhole in the front is super long-again  does not seem to fit the dress. i am not happy with this piece at all but it did fit tts. length is just above knee. i am 5'5"" 142 lbs 34d and the six was a good fit. sending this home t",Dresses
-1,I have always bought interesting  pretty  wearable dresses for my daughters at retailer. now the dresses are just retro funky. sad to see.,Dresses
-1,I wear med or large in most items. the medium was huge. fit like a moo moo. size down by at least two.,Dresses
0,"This dress does run a tad small. for me it was small across the chest and i did have to shimmy into it. i am 5'6""  110 and got size s. if i had gotten the m it would have looked a tad frumpy (on me). pretty  but wasn't happy with the fit aside from that the ""line""separating the top from the bottom was rather high for me and it seems that it was not really intended to be an ""umpire"" waist. i tried a belt with it and at my natural waist left the line uncovered several inches up toward my chest. i",Dresses
0,"The style of this dress is quite lovely  i immediately gravitated towards it when i saw in the store  however once i tried it on it looked like a sack of potatoes...unfortunately the loose silhouette did not do anything for my figure  i should mention that i am 5'9"" and have an athletic figure but with hips.   the design is very on trend and the dress does have some lovely details like the lace around the hip area and flowy fabric. but unfortunately it was not enough for me to purchase. also the",Dresses
0,I ordered this dress after seeing it styled with a beautiful cape.  when it arrived  it was incredibly soft and the color was a pretty  muted pink.  however  once i put it on  it clinged to all the wrong places.  having a larger chest made it show a lot of cleavage and if i can't wear a standard bra with it  it's too complicated.  in a regular tank dress  it would have been a yes. overall a great dress  but probably for another body type.,Dresses
0,I was very excited about this dress but when it came i saw it had too much going on. it either needs the ruffle taken away ( my first choice) or the halter part taken away. in the end i think it needs to go back.,Dresses
0,Beautiful fabric  but the fit was off. the picture makes the dress appear fitted than it actually is. the belt is definitely needed  but would leave a lot of fabric in the back of the dress giving it a less than tailored look.     also  the arms and the top portion are a tad small  so if you have a larger bust/arms  this dress may be tricky. i am a 34b and the button in the xxsp was puckering a bit.i was really looking forward to this one for fall  but was no way for me to make it work.,Dresses
0,I looked forward to this dress.  it's a lovely design.  it's a heavy material that doesn't have the most flattering fit.  the green lace has snags along the hemlines which is a disappointment.  i'm returning the dress.,Dresses
0,I tried this dress on in the store today  and the armholes were so wide  it showed my bra under the arm almost to the bottom  and it showed part of the side cup of my bra at the front. while the dress seems like it will be really comfy  the arm cuts are so unnatural  i had to pass. i did try going down in size  and petite  and neither of those options worked to fix the situation.,Dresses
0,Cute dress to throw on and go. fits pretty true to size except for the slip underneath. it's a little tight and i felt to short for the dress. i ended up wearing a full slip i had under it and that work great!,Dresses
0,The fabric felt beautiful  and it felt great on  but once i looked in the mirror it just looked too housedress like. maybe because it runs large. the price seemed high as well. i wanted to love it but i had to return.,Dresses
1,"I really love this dress but i am still struggling with keeping it or not. i have an hour glass figure with a somewhat fullish behind :). it is tight around that area which i think it is meant to be but i am not sure how comfortable i am with that. i wasn't sure about the belt but it really works. i am 5""3 and weigh 118. i did have to size up from 2p to 4 p for it not to feel too tight in all areas.",Dresses
1,Love  love  love this dress! i needed a fun but not over the top dress for family pictures and this was perfect. great pop of color and looked amazing with over the knee boots. i see myself wearing this thru the holidays and will likely throw on with a jean jacket. i found it true to size - my normal size 4 fits me well. buy this dress - you won't regret it!,Dresses
1,"This dress is even prettier in person. i'm 5'5"" and usually a 4 in fit and flare dresses and got this in a 4. fits like a glove and hits right above my knee. the hook and eye closure does get caught on the delicate lace  so be careful of that. otherwise  this dress is perfect for summer weddings!",Dresses
1,Love this dress in the orange print! i do agree with one reviewer who said the high neck is bothersome--it is! but i'm willing to overlook that because it is the style of this dress. and it is adorable! easy and comfortable to wear--and i just love the orange pattern print! took my usual size!,Dresses
1,Received this dress for christmas and fell in love. the detail and fit is perfection. the buttons go all the way to the bottom of the skirt so no concern for pesky flyaway exposure should the wind blow. the detail on the arms w the buttons is also cute and i personally loved the longer sleeve that almost comes to my elbow - it's very flattering. overall a great little dress!,Dresses
1,I first saw this dress in one of the stores and the rich colors caught my eye. this dress is very comfortable to wear but is also unique. the fabric feels great on and gives the dress an overall stylish flair. the photo doesn't do it justice!,Dresses
1,I saw this in the sales rack and decided to try it on  and i'm so glad i did. it looks very ordinary on the hanger  but  in fact  it's a very surprising find  as others have mentioned. _____________ pros: - a-line so you could go down a size for a slimmer fit. - the zipper in the back has an attached pleather-like tag to help in zipping the dress up. i found this extremely considerate and smart; most dresses don't have this. - lots of stretch and very  very comfortable. i can see myself wearing,Dresses
1,This dress truly is a work of art and i am becoming a little obsessed with byron lars' clothing line. this is my 3rd dress by him and i have been a size 2 in the other dresses. the 2 does fit in this dress but it is a little snug. not sure if a 4 would look as good because it is meant to be form fitting. the panels trick the eye into making you look thinner too. my dimensions 32c 26 33. it fits perfectly in the hips and waist but is tight on top.,Dresses
1,Once i tried this dress on i understood why the pricepoint was so high! it's very thick ( but not uncomfortable) and very well made. love the color and style of this dress  but as others have said  the model picture is deceiving. try it on in store to see if you like it for yourself! i'm curvy on top and bottom with broad shoulders and personally it was a no for me  i found other dresses that i loved more  this one was pretty but wasn't a hit for me.,Dresses
-1,I love finding unique retailer pieces that don't require dry cleaning. i was excited to find this shirt  but it's not flattering. the bottom hem is a little tight  which makes the rest of the shirt look bulky. perhaps it would work better on people who have narrow hips. i also didn't like the pink tones when i saw the colors in person. i'll be returning this item.,Fine gauge
-1,The product looked more or less as expected  but the fabric felt very cheap. not the quality i would expect from retailer. the shirt is also very short  which did not bother me but is something others should be aware of.,Fine gauge
-1,Based on the strength of the other reviews  i thought this sweater would be amazing  but i was disappointed. the knit is very thin  cheap looking and weak that it won't last a season undamaged. it reminds me of a duster i bought 15 years ago at a discount fast-fashion retailer when i was a student. sloppy looking with lots of creases out of the package. collar is odd and the sleeve openings have an annoying flare. the drape is not structured enough--everything about this screams over priced bath,Fine gauge
-1,"The photos online make it look like a comfortable  relaxed  lightweight early fall/spring cardigan. when it arrived it looked very wrinkly and there is no ""shimmer"" as far as i can tell. i tried using my steamer to get some of the wrinkles out  but it didn't work. it looks too rumpled and i don't want to wear something that looks like i just rolled out of bed.",Fine gauge
-1,I wanted to love this tunic sweater. the material is so soft and a perfect weight. the color is pretty. bu the fit absolutely did not work for me. the tunic runs very small. a large usually fits me but i felt like i was wearing a small. the slits are quite high. i was sorry to do it but this one went straight back!,Fine gauge
-1,The fit was not flattering at all  but the worst part was the colors were really dull and not bright as shown in the online photos.,Fine gauge
-1,This tunic looks awesome in the picture. however  it is made of an uncomfortable sweater-like material not left of centers normal skin cotton. i was disappointed once i saw this in person. not a great material for summer.,Fine gauge
-1,I also expected this sweater to have more bulk to it per the images. it is very thin as others have said. the design is awkward with the sleeve placement and that makes it more flowy vs. structured. it is more similar to a cape or shawl design. if you;'re looking for a warm cozy blanket sweater design  this is not it. i will keep it though as a layering piece and because of the sale price and classic color design.,Fine gauge
-1,Had to return this for a couple of reasons: 1) was too small! it's made like one of those tiny mittens that stretches to fit any size hand. i didn't bother to order a size up because i wasn't sure whether to go from a small to a medium or to a large. 2) the main color isn't grey  like the picture. it's a black and white checkered pattern. so  it doesn't look at all grey irl.    i'm still recommending because  if you get the right size  and like the colors  it will be a nice  light and comfy swea,Fine gauge
0,I like the look of this sweater and i am keeping it. however  i found the fit under the arms a little uncomfortable. there is a large seem that goes under the armpit and is a little bulky and irritating. also would not recommend if you are busty. because of how the stripes run  it looks stretched out over my chest.,Fine gauge
0,Looks great from the front  but from the side it looks like a maternity top.,Fine gauge
0,I'm not much for ponchos  but this one looked unique. it is thin  kind of a felt material - that was expected - but i was surprised to find it was shorter at waist than how it appears online   and it was wide horizontally. the colors were more muted and the design was slightly off center unlike pic. the turtleneck was thick and itchy. it was a return.,Fine gauge
0,Loved this top  but had to return it. the collar is gorgeous but terrible quality,Fine gauge
0,This is the prettiest little sweater with such nice details. but it will not work well on a person like me with a full bust (38d) even in a larger size than i normally wear. it is also very  very short in the body. i would recommend it for a petite person with a small bust though.,Fine gauge
0,"I'm usually a small (5'5""  116 lbs  long torso)  but the x-small fit well. the black does look see-through in the pictures  but i figured i could wear a cami with it. it is see-through in person if you are up close  mainly in the back and arms since the front has extra fabric in places. however  it is rather short  possibly because it is an x-small  and i'll need a short cami to fit under it or will have to have a cami hanging out of the bottom  which drapes nicely and a cami may mar that effect",Fine gauge
0,"Purchased because i wanted a deep red sweater  and this one was the perfect color. unfortunately i am on the curvier side  with 34g chest  155lbs 5' 5""  and the med was too big  (i usually wear m or l at retailer.) also the fit ended up being boxy on my body type.",Fine gauge
0,I so wanted to keep this sweater but the invisible metallic threads that give the sweater its crinkled appearance are super scratchy and irritating. it definitely requires a long sleeved top to prevent the irritation as shown in the online photo. it is lightweight and i planned to wear it over sleeveless summer tops/dresses. i have averaged size arms and there was plenty of upper arm room. in fact extra room is designed into the sleeves. one plus for those with upper arm fit concerns. the lower,Fine gauge
0,.unfortunately it hit at the widest part of my hips  so it wasn't very flattering. the point in the back was also kind of odd  and off center. i had to return. pretty color  though.,Fine gauge
1,The shirt fits very nicely  a little large but very confortable. amazing color (i got it in green),Fine gauge
1,I saw these sweaters in the store this fall and took a pass - they didn't look cute and i thought they wouldn't be cute on  because the little pockets looked droopy --but i was so wrong! once they went on sale  i took a chance b.c. i needed a black lightweight cardigan for a trip. ordered a size small and it fits perfect - so cute  i just love it! glad i bought it at the sale price because now i'm even happier!,Fine gauge
1,This sweater is light gray  as shown in the photo  not dark gray as the description states. i went up from my usual size so would say it runs small. it is lightweight enough that i think i will get adequate use out of it this winter in fl.,Fine gauge
1,I love to layer and this is a great layering piece. it is wonderful for cool crisp mornings . this cardigan looks great with skinny jeans and a cute tee. the model in the photo shows a super way to look great for a casual day. so soft and comfortable  i did not want to take it off on the cloudy day it was worn. very happy with this purchase and delighted i was able to get it on sale.,Fine gauge
1,As-advertised crop sweater is a great length. design is an iron-on velvet texture rather than intarsia. weight of sweater is great for transitional weather.,Fine gauge
1,I absolutely love this dress. the quality is perfection. the design is adorable and it is comfortable! i paired it with leggings and short boots and worked 10 hours in it. and i worked a large event so i wansup moving things and active almost the entire time. it was the perfect combination of dressing up for work yet being fully functional! oh and the neck line ads that extra touch of style that makes it a great piece. love this! it is also true to size. i have a medium.,Fine gauge
1,I ordered this sweater online in a size 12. i am 5'7 170 i normally wear a 10/12  i was swimming in this one. i could have ordered an 8 and been fine. the fabric feels luxurious but the twist in the shoulder is not sewn into place  you will have to steam/press it each time you wear it or you could have it sewed into place.,Fine gauge
1,Very pretty & shimmery. suitable for slightly dressier occasions. comfortable fit.,Fine gauge
1,Great style and quality. however sizing runs smaller than anticipated.  i gave it as a gift to a friend who wears a smaller size than me.,Fine gauge
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
1,This bra is beautiful. the lace is so lovely and soft and looks fabulous on. my only criticism is it runs very small. i am a 32 a and order the size 1 and it is snug... just order a size up (or two) and it should be perfect.,Intimates
1,I own a couple of pairs of natori hipsters and recently purchased the yellow to go with the front close natori bra. i tried to wear thong panties but they just didn't work for me. thankfully  natori makes these lovely panties that still make me feel sexy and they are way more comfortable. they also receive rave reviews from my husband. : ),Intimates
1,I'm not sure what cup size i am  36b or 36c  but the medium fits perfect. material is soft and stretchy. i usually wear a medium size shirt. i definitely won't be wearing it out in public  but i like it a lot for at home wear. the matching underwear may run large. i'm usually one size larger in bottoms than in tops  but the medium worked for those too.,Intimates
1,I typically wear an xs to s in tops and purchased an xs for a less flowy fit.  this top has a luxurious feel and the green color is really beautiful (more matte than shiny).  perfect piece to wear under a jacket or blazer.,Intimates
1,This is so beautiful! i loved it online  but it's even prettier in person. it's a little greener than it appears in the photo. the straps are actually a green rather than white. i'm 5' 6'' 123 lbs and the xs fits perfectly. worth the money!,Intimates
1,Yes  this is a thinner bra  it's almost sheer when you hold it up to the light  but it fit perfectly (36d) and is seamless under even the thinnest tops. i love that its not padded  i feel like it just slightly enhances my natural shape without adding anything more  and i really wish i had bought multiples before they sold out! i can't speak to how it will hold up since i just got it yesterday and i'm wearing it for the first time today  but i'm keeping my fingers crossed that it will last as wel,Intimates
1,I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear. this is a light weight bra  could be a little more supportive. pretty color  with nice lines. only downside is the retailer tag on the back - itchy (i need to remove it.),Intimates
1,This is a tts cami that should be a staple in everyone's closet. great for layering.,Intimates
1,I guess this is a true to size  i am usually a 30dd and ordered 32d  fits great. the back is really pretty  so even though it is a tiny bit looser  i decided to keep it...,Intimates
-1,The colors on this kimono are amazing and i really loved it  however  i too noticed the 'delicateness' of the material. it is so delicate that parts were starting to fray - including next to the kimono's label. so sad.,Jackets
-1,This fell apart after wearing it once. for the price  it should hold up better. it's too delicate.,Jackets
-1,"I didn't receive a jacket. i received a very expensive cardigan sweater with no structural qualities to it. jackets have some structure to them. for example they might nip in at the waist a bit. this cardigan doesn't do that. it hangs in a very boxy shape. the quality is great. very light weight and i really love the little pockets and details  but i don't need/want another cardigan.     i'm 5'5""  118 lbs and got a small. the small seemed big  but i think it would have fit fine if it had more st",Jackets
-1,"The fit is so bad and the construction is very poor. i'm 5'1''  100 lbs  ordered xxs petite.     first of all  when i button this  there is extreme gaping going on. the vest runs narrow  yet tall?it shifts up my torso if i move at all  making the gaping even worse.    the ""skirt"" at the bottom is made of a very cheap  thin  slightly sheeny material that you would find at a flea market. it arrived unbelievably wrinkled and crumpled  and it was just so thin. it did not meet as closely in the middl",Jackets
-1,I wanted to love this  but instead of being a flowy kimono top as pictured- it was a thick blazer type garment. not at all what is pictured here unfortunately. also it was much shorter than pictured and i am only 5'4''.     love most retailer styles  but this one was a miss and a return.,Jackets
-1,While this is cozy and well made  the problem lies with the unavoidable exposure of the inside of the poncho  which looks unfinished. had the inside been lined or had the hue of the stripes continued through the material  the draped look of this piece would be gorgeous. unfortunately  the faded backside of the pattern (a glimpse of it under model's left hand)  viewable through the very large arm holes (and impossible to hide)  disrupts the effortless  fluid feel that a poncho should have. i was,Jackets
-1,I ordered this vest in xxs  since i am usually an xs and was looking for a bit of a tighter fit on such a loose vest. even then  the vest looked like a large. not only was it incredibly loose - much looser than in looks in the picture - but the arm holes were huge too. it just looked too big  not artfully drapey.,Jackets
-1,I was hesitant to buy this because it is double breasted which isn't my first choice. that was the least of the problems with this jacket. i love sparkle  and i love beautiful detail  none of the elements by themselves was a problem. the sum of the parts didn't work  though. the end result was an unflattering  confusing mess. the silhouette plus the frayed edges  plus the sequins plus the vent in back plus the huge buttons plus the double breast  plus the zipper were just too many things to go t,Jackets
-1,I wanted this jacket to fit on me like in the photo  but i guess my frame was still to petite. the fabric was also on the cheap end,Jackets
0,Failed to read website description that vest is polyester shearling-lined.that's on me.  beware: pockets decorative only.  runs a size small due to fact vest is polyester shearling-lined.,Jackets
0,The jacket was nice and soft but it was too short on my torso with a cropped fit which i'm not a fan of that style. i returned it.,Jackets
0,"Loved the look of this wool and so well made! problem was it literally would have been better on a bed as a blanket than on my body as a blanket coat. just overwhelmed me and didn't look good. i'm 5/9"" and 160 lbs so i'm no shrinking violet just too heavy of fabric.",Jackets
0,I like how this jacket is very versatile. you can wear it to work  or play. it does have interesting detail on it  i kept it based on the price and those details. i have the olive color. the arms are a little tight.,Jackets
0,Beautiful sweater coat! love that is easy to pop on & head out. i did have to go to a seamstress and have the button moved as it was to large and boxy around my waist area.,Jackets
0,I saw this jacket and loved the plaid and the idea of a soft sherpa material as a lining was hard to pass up1it was true to size and the material was very nice. however  the button closure was difficult as the buttonholes seemed a bit too small. also  the back of the jacket did not lay flat and it kept rolling.... i had to return this jacket.,Jackets
0,"I agree with a previous reviewer who said that it was very nicely cut  but unfortunately  the materials are so cheap. the ""fleece"" material that it is made out of feels like the cheap polyester fleece blankets that you get at the discount stores. it will pill easily  and is noticeable even in the dark color. i must have gotten one shipped straight from the store  and it was already starting to do some gnarly pilling. i do love the cut of it  but i can't justify keeping it because this won't last",Jackets
0,It is indeed cut to the shape of a trench. however  i think retailer should rename it as it's more like wearing a cardigan. it's soft and pretty which i like. however  i wasn't convinced to buy it since i have a gazillion long black cardigans already made out of the same jersey stretch material.,Jackets
